candidate_id,slot_id,macro_region,slot_rank,role,city,country,query,acquisition_order,protocol_frozen_utc,inclusion_criteria,fallback_rule,threshold_informed_exclusion_allowed,dist_m,dist_type,network_type,simplify,retain_all,truncate_by_edge
ER61P,ER61,North America,1,primary,Calgary,Canada,"Calgary, Canada",6,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER61F,ER61,North America,1,fallback,Edmonton,Canada,"Edmonton, Canada",6,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER71P,ER71,Oceania,1,primary,Adelaide,Australia,"Adelaide, Australia",7,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER71F,ER71,Oceania,1,fallback,Canberra,Australia,"Canberra, Australia",7,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER12P,ER12,Africa,2,primary,Kigali,Rwanda,"Kigali, Rwanda",8,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER12F,ER12,Africa,2,fallback,Douala,Cameroon,"Douala, Cameroon",8,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER22P,ER22,Asia,2,primary,Sapporo,Japan,"Sapporo, Japan",9,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER22F,ER22,Asia,2,fallback,Busan,South Korea,"Busan, South Korea",9,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER32P,ER32,Europe,2,primary,Munich,Germany,"Munich, Germany",10,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER32F,ER32,Europe,2,fallback,Budapest,Hungary,"Budapest, Hungary",10,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER42P,ER42,Latin America,2,primary,Cordoba,Argentina,"Cordoba, Argentina",11,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER42F,ER42,Latin America,2,fallback,Rosario,Argentina,"Rosario, Argentina",11,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER52P,ER52,Middle East,2,primary,Amman,Jordan,"Amman, Jordan",12,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER52F,ER52,Middle East,2,fallback,Beirut,Lebanon,"Beirut, Lebanon",12,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER62P,ER62,North America,2,primary,Minneapolis,United States,"Minneapolis, United States",13,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER62F,ER62,North America,2,fallback,St. Louis,United States,"St. Louis, United States",13,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER72P,ER72,Oceania,2,primary,Perth,Australia,"Perth, Australia",14,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER72F,ER72,Oceania,2,fallback,Hobart,Australia,"Hobart, Australia",14,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER13P,ER13,Africa,3,primary,Cape Town,South Africa,"Cape Town, South Africa",15,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER13F,ER13,Africa,3,fallback,Lusaka,Zambia,"Lusaka, Zambia",15,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER23P,ER23,Asia,3,primary,Colombo,Sri Lanka,"Colombo, Sri Lanka",16,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER23F,ER23,Asia,3,fallback,Kathmandu,Nepal,"Kathmandu, Nepal",16,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER33P,ER33,Europe,3,primary,Valencia,Spain,"Valencia, Spain",17,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER33F,ER33,Europe,3,fallback,Porto,Portugal,"Porto, Portugal",17,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER43P,ER43,Latin America,3,primary,Recife,Brazil,"Recife, Brazil",18,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER43F,ER43,Latin America,3,fallback,Salvador,Brazil,"Salvador, Brazil",18,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER53P,ER53,Middle East,3,primary,Muscat,Oman,"Muscat, Oman",19,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER53F,ER53,Middle East,3,fallback,Doha,Qatar,"Doha, Qatar",19,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER63P,ER63,North America,3,primary,Philadelphia,United States,"Philadelphia, United States",20,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER63F,ER63,North America,3,fallback,Pittsburgh,United States,"Pittsburgh, United States",20,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER73P,ER73,Oceania,3,primary,Wellington,New Zealand,"Wellington, New Zealand",21,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER73F,ER73,Oceania,3,fallback,Christchurch,New Zealand,"Christchurch, New Zealand",21,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
