lambda,2D,junction
0.49,0.286489636693977,0.12181754586742374
0.5,0.286541089469604,0.12430361823206505
0.51,0.28659254224523106,0.12678969059670636
0.52,0.2866439950208581,0.12927576296134766
0.53,0.2866954477964851,0.13176183532598895
0.54,0.28674690057211216,0.13424790769063027
0.55,0.2867983533477392,0.13673398005527157
0.56,0.28684980612336625,0.13922005241991287
0.5700000000000001,0.28690125889899326,0.1417061247845542
0.58,0.28695271167462033,0.14419219714919546
0.59,0.28700416445024735,0.14667826951383675
0.6,0.28705561722587436,0.14916434187847805
0.61,0.28710707000150143,0.15165041424311937
0.62,0.28715852277712844,0.15413648660776066
0.63,0.2872099755527555,0.15662255897240196
0.64,0.28726142832838253,0.15910863133704328
0.65,0.2873128811040096,0.16159470370168458
0.66,0.2873643338796366,0.16408077606632587
0.67,0.2874157866552636,0.16656684843096717
0.68,0.2874672394308907,0.1690529207956085
0.6900000000000001,0.2875186922065177,0.1715389931602498
0.7000000000000001,0.2875701449821448,0.17402506552489108
0.71,0.2876215977577718,0.17651113788953238
0.72,0.28767305053339887,0.17899721025417367
0.73,0.2877245033090259,0.18148328261881497
0.74,0.2877759560846529,0.18396935498345626
0.75,0.28782740886027997,0.18645542734809759
0.76,0.287878861635907,0.18894149971273888
0.77,0.28793031441153405,0.19142757207738018
0.78,0.28798176718716106,0.1939136444420215
0.79,0.28803321996278813,0.1963997168066628
0.8,0.28808467273841515,0.1988857891713041
0.81,0.28813612551404216,0.20137186153594538
0.8200000000000001,0.28818757828966923,0.2038579339005867
0.8300000000000001,0.28823903106529625,0.206344006265228
0.84,0.2882904838409233,0.20883007862986927
0.85,0.28834193661655033,0.2113161509945106
0.86,0.2883933893921774,0.2138022233591519
0.87,0.2884448421678044,0.21628829572379318
0.88,0.28849629494343143,0.2187743680884345
0.89,0.2885477477190585,0.2212604404530758
0.9,0.2885992004946855,0.2237465128177171
0.91,0.2886506532703126,0.2262325851823584
0.92,0.2887021060459396,0.22871865754699972
0.93,0.2887535588215666,0.231204729911641
0.9400000000000001,0.2888050115971937,0.2336908022762823
0.9500000000000001,0.2888564643728207,0.23617687464092363
0.96,0.28890791714844777,0.2386629470055649
0.97,0.2889593699240748,0.2411490193702062
0.98,0.28901082269970185,0.2436350917348475
0.99,0.28906227547532887,0.2461211640994888
1.0,0.2891137282509559,0.2486072364641301
1.01,0.28916518102658295,0.2510933088287714
1.02,0.28921663380220997,0.2535793811934127
1.03,0.28926808657783704,0.256065453558054
1.04,0.28931953935346405,0.2585515259226953
1.05,0.2893709921290911,0.26103759828733664
1.06,0.28942244490471813,0.2635236706519779
1.07,0.28947389768034515,0.2660097430166192
1.08,0.2895253504559722,0.26849581538126055
1.09,0.28957680323159923,0.2709818877459018
1.1,0.2896282560072263,0.27346796011054314
1.11,0.2896797087828533,0.27595403247518446
1.12,0.2897311615584804,0.27844010483982573
1.1300000000000001,0.2897826143341074,0.28092617720446705
1.1400000000000001,0.2898340671097344,0.2834122495691084
1.1500000000000001,0.2898855198853615,0.28589832193374964
1.16,0.2899369726609885,0.2883843942983909
1.17,0.28998842543661557,0.2908704666630322
1.18,0.2900398782122426,0.2933565390276735
1.19,0.29009133098786966,0.2958426113923148
1.2,0.29014278376349667,0.2983286837569561
1.21,0.2901942365391237,0.3008147561215974
1.22,0.29024568931475075,0.30330082848623874
1.23,0.29029714209037777,0.30578690085088
1.24,0.29034859486600484,0.30827297321552133
1.25,0.29040004764163185,0.31075904558016265
1.26,0.29045150041725887,0.3132451179448039
1.27,0.29050295319288594,0.31573119030944524
1.28,0.29055440596851295,0.31821726267408657
1.29,0.29060585874414,0.32070333503872783
1.3,0.29065731151976704,0.32318940740336916
1.31,0.2907087642953941,0.3256754797680104
1.32,0.2907602170710211,0.32816155213265175
1.33,0.29081166984664814,0.33064762449729307
1.34,0.2908631226222752,0.33313369686193434
1.35,0.2909145753979022,0.33561976922657566
1.36,0.2909660281735293,0.338105841591217
1.37,0.2910174809491563,0.34059191395585825
1.3800000000000001,0.2910689337247834,0.3430779863204996
1.3900000000000001,0.2911203865004104,0.3455640586851409
1.4000000000000001,0.2911718392760374,0.34805013104978216
1.41,0.2912232920516645,0.35053620341442343
1.42,0.2912747448272915,0.35302227577906475
1.43,0.29132619760291856,0.355508348143706
1.44,0.29137765037854557,0.35799442050834734
1.45,0.29142910315417264,0.36048049287298867
1.46,0.29148055592979966,0.36296656523762993
1.47,0.29153200870542667,0.36545263760227126
1.48,0.29158346148105374,0.3679387099669125
1.49,0.29163491425668076,0.37042478233155385
1.5,0.2916863670323078,0.37291085469619517
1.51,0.29173781980793484,0.37539692706083644
1.52,0.2917892725835619,0.37788299942547776
1.53,0.2918407253591889,0.3803690717901191
1.54,0.29189217813481594,0.38285514415476035
1.55,0.291943630910443,0.3853412165194017
1.56,0.29199508368607,0.387827288884043
1.57,0.2920465364616971,0.39031336124868427
1.58,0.2920979892373241,0.3927994336133256
1.59,0.2921494420129511,0.3952855059779669
1.6,0.2922008947885782,0.3977715783426082
1.61,0.2922523475642052,0.4002576507072495
1.62,0.2923038003398323,0.40274372307189077
1.6300000000000001,0.2923552531154593,0.4052297954365321
1.6400000000000001,0.29240670589108636,0.4077158678011734
1.6500000000000001,0.2924581586667134,0.4102019401658147
1.6600000000000001,0.2925096114423404,0.412688012530456
1.67,0.29256106421796746,0.4151740848950973
1.68,0.2926125169935945,0.41766015725973854
1.69,0.29266396976922154,0.42014622962437986
1.7,0.29271542254484856,0.4226323019890212
1.71,0.29276687532047563,0.42511837435366245
1.72,0.29281832809610264,0.4276044467183038
1.73,0.29286978087172966,0.4300905190829451
1.74,0.2929212336473567,0.43257659144758637
1.75,0.29297268642298374,0.4350626638122277
1.76,0.2930241391986108,0.437548736176869
1.77,0.2930755919742378,0.4400348085415103
1.78,0.2931270447498649,0.4425208809061516
1.79,0.2931784975254919,0.44500695327079287
1.8,0.2932299503011189,0.4474930256354342
1.81,0.293281403076746,0.4499790980000755
1.82,0.293332855852373,0.4524651703647168
1.83,0.2933843086280001,0.4549512427293581
1.84,0.2934357614036271,0.45743731509399943
1.85,0.29348721417925416,0.4599233874586407
1.86,0.2935386669548812,0.462409459823282
1.87,0.2935901197305082,0.46489553218792334
1.8800000000000001,0.29364157250613526,0.4673816045525646
1.8900000000000001,0.2936930252817623,0.46986767691720593
1.9000000000000001,0.29374447805738935,0.47235374928184726
1.9100000000000001,0.29379593083301636,0.4748398216464885
1.92,0.2938473836086434,0.4773258940111298
1.93,0.29389883638427045,0.47981196637577106
1.94,0.29395028915989746,0.4822980387404124
1.95,0.29400174193552453,0.4847841111050537
1.96,0.29405319471115154,0.487270183469695
1.97,0.2941046474867786,0.4897562558343363
1.98,0.29415610026240563,0.4922423281989776
1.99,0.29420755303803264,0.4947284005636189
2.0,0.2942590058136597,0.4972144729282602
2.0100000000000002,0.2943104585892867,0.4997005452929016
2.02,0.2943619113649138,0.5021866176575428
2.0300000000000002,0.2944133641405408,0.5046726900221842
2.04,0.2944648169161679,0.5071587623868254
2.05,0.2945162696917949,0.5096448347514667
2.06,0.2945677224674219,0.512130907116108
2.07,0.294619175243049,0.5146169794807492
2.08,0.294670628018676,0.5171030518453906
2.09,0.29472208079430307,0.5195891242100319
2.1,0.2947735335699301,0.5220751965746733
2.11,0.29482498634555715,0.5245612689393145
2.12,0.29487643912118416,0.5270473413039558
2.13,0.2949278918968112,0.5295334136685971
2.14,0.29497934467243825,0.5320194860332385
2.15,0.29503079744806526,0.5345055583978797
2.16,0.29508225022369233,0.5369916307625211
2.17,0.29513370299931935,0.5394777031271623
2.18,0.2951851557749464,0.5419637754918036
2.19,0.29523660855057343,0.5444498478564449
2.2,0.29528806132620045,0.5469359202210863
2.21,0.2953395141018275,0.5494219925857275
2.22,0.29539096687745453,0.5519080649503689
2.23,0.2954424196530816,0.5543941373150101
2.24,0.2954938724287086,0.5568802096796515
2.25,0.29554532520433563,0.5593662820442927
2.2600000000000002,0.2955967779799627,0.5618523544089341
2.27,0.2956482307555897,0.5643384267735754
2.2800000000000002,0.2956996835312168,0.5668244991382168
2.29,0.2957511363068438,0.5693105715028579
2.3000000000000003,0.29580258908247087,0.5717966438674993
2.31,0.2958540418580979,0.5742827162321406
2.32,0.2959054946337249,0.5767687885967818
2.33,0.29595694740935197,0.5792548609614232
2.34,0.296008400184979,0.5817409333260644
2.35,0.29605985296060605,0.5842270056907057
2.36,0.29611130573623307,0.586713078055347
2.37,0.29616275851186014,0.5891991504199884
2.38,0.29621421128748715,0.5916852227846296
2.39,0.29626566406311416,0.594171295149271
2.4,0.29631711683874123,0.5966573675139122
2.41,0.29636856961436825,0.5991434398785536
2.42,0.2964200223899953,0.6016295122431948
2.43,0.29647147516562233,0.6041155846078362
2.44,0.2965229279412494,0.6066016569724775
2.45,0.2965743807168764,0.6090877293371189
2.46,0.29662583349250343,0.61157380170176
2.47,0.2966772862681305,0.6140598740664014
2.48,0.2967287390437575,0.6165459464310427
2.49,0.2967801918193846,0.619032018795684
2.5,0.2968316445950116,0.6215180911603253
2.5100000000000002,0.29688309737063867,0.6240041635249666
2.52,0.2969345501462657,0.6264902358896078
2.5300000000000002,0.2969860029218927,0.6289763082542492
2.54,0.29703745569751977,0.6314623806188905
2.5500000000000003,0.2970889084731468,0.6339484529835319
2.56,0.29714036124877385,0.6364345253481731
2.57,0.29719181402440087,0.6389205977128143
2.58,0.2972432668000279,0.6414066700774557
2.59,0.29729471957565495,0.6438927424420969
2.6,0.29734617235128197,0.6463788148067383
2.61,0.29739762512690904,0.6488648871713796
2.62,0.29744907790253605,0.6513509595360208
2.63,0.2975005306781631,0.6538370319006621
2.64,0.29755198345379014,0.6563231042653035
2.65,0.29760343622941715,0.6588091766299448
2.66,0.2976548890050442,0.6612952489945861
2.67,0.29770634178067124,0.6637813213592274
2.68,0.2977577945562983,0.6662673937238687
2.69,0.2978092473319253,0.6687534660885099
2.7,0.2978607001075524,0.6712395384531513
2.71,0.2979121528831794,0.6737256108177926
2.72,0.2979636056588064,0.676211683182434
2.73,0.2980150584344335,0.6786977555470752
2.74,0.2980665112100605,0.6811838279117165
2.75,0.2981179639856876,0.6836699002763578
2.7600000000000002,0.2981694167613146,0.6861559726409991
2.77,0.29822086953694166,0.6886420450056404
2.7800000000000002,0.29827232231256867,0.6911281173702818
2.79,0.2983237750881957,0.693614189734923
2.8000000000000003,0.29837522786382276,0.6961002620995643
2.81,0.29842668063944977,0.6985863344642056
2.82,0.29847813341507684,0.7010724068288469
2.83,0.29852958619070386,0.7035584791934882
2.84,0.2985810389663309,0.7060445515581295
2.85,0.29863249174195794,0.7085306239227708
2.86,0.29868394451758495,0.711016696287412
2.87,0.298735397293212,0.7135027686520534
2.88,0.29878685006883904,0.7159888410166947
2.89,0.2988383028444661,0.7184749133813361
2.9,0.2988897556200931,0.7209609857459773
2.91,0.29894120839572014,0.7234470581106186
2.92,0.2989926611713472,0.7259331304752599
2.93,0.2990441139469742,0.7284192028399012
2.94,0.2990955667226013,0.7309052752045425
2.95,0.2991470194982283,0.7333913475691839
2.96,0.2991984722738554,0.735877419933825
2.97,0.2992499250494824,0.7383634922984664
2.98,0.2993013778251094,0.7408495646631077
2.99,0.2993528306007365,0.7433356370277491
3.0,0.2994042833763635,0.7458217093923903
